Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
Visual Cluster Analysis of Trajectory Data With Interactive Kohonen Maps,2008,VAST,Scientific Visual Analytics and Learning,"Tobias Schreck, Jürgen Bernard, Tatiana Tekušová, Jörn Kohlhammer",H.4 [Information Systems]: Information Sys- tems Applications; I.3.6 [Computing Methodologies]: Computer Graphics—Methodology and Techniques.,,,,,1,,,,,,,,1,,,,
Crystal Structures Classifier for an Evolutionary Algorithm Structure Predictor,2008,VAST,Scientific Visual Analytics and Learning,"Mario Valle, Artem R. Oganov",J.2 [Physical Sciences and Engineering]: Chem- istry; I.5.2 [Pattern Recognition]: Design Methodology—Classifier design and evaluation,,,,,1,,,,,,,,1,,,,
Model-Driven Visual Analytics,2008,VAST,Scientific Visual Analytics and Learning,"Supriya Garg, Julia Eunju Nam, I.V. Ramakrishna, Klaus Mueller",H.5.2 [Information Interfaces and Presentation]: User Interfaces—Graphical user interfaces; I.2.6 [Artificial Intel- ligence]: Learning—Concept Learning; I.5.3 [Pattern Recogni- tion]: Clustering—Similarity Measures.,,,,,1,,,,,,,,1,,,,
Using Visual Analytics to Maintain Situation Awareness in Astrophysics,2008,VAST,Scientific Visual Analytics and Learning,"Cecilia R. Aragon, Sarah S. Poon, Gregory S. Aldering, Rollin C. Thomas, Robert Quimby","Data and knowledge visualization, scientific visualization, visual analytics, situation awareness, astrophysics.",,,,,1,,1,,,,,,,,,1,
Understanding Syndromic Hotspots - A Visual Analytics Approach,2008,VAST,Temporal and Spatial Visual Analytics,"Ross Maciejewski, Stephen Rudolph, Ryan Hafen, Ahmad Abusalah, Mohamed Yakout, Mourad Ouzzani, William S. Cleveland, Shaun J. Grannis, Michael Wade, David S. Ebert",,,,,,1,,,,,,,,1,,,,
Configurable Spaces: Temporal Analysis in Diagrammatic Contexts,2008,VAST,Temporal and Spatial Visual Analytics,"Thomas Kapler, Ryan Eccles, Robert Harper, William Wright","human information interaction, visual analytics, graph visualization, geo-temporal analysis, concept maps",,,,,1,,1,,,,,1,,,,1,
Spatio-temporal Aggregation for Visual Analysis of Movements,2008,VAST,Temporal and Spatial Visual Analytics,"Gennady Andrienko, Natalia Andrienko","Movement data, spatio-temporal data, aggregation, scalable visualization, geovisualization.",,,,,1,,,,,,,,1,,,,
Maintaining Interactivity While Exploring Massive Time Series ,2008,VAST,Temporal and Spatial Visual Analytics,"Sye-Min Chan, Ling Xiao, John Gerth, Pat Hanrahan",D.2.11 [Software Engineering]: Software Architectures—Domain-specific architectures; H.5.2 [Information Interfaces And Presentation]: User Interface—Graphical user in- terfaces (GUI); K.4.0 [Information Systems Applications]: General,1,,1,1,,,,,,,1,,,,,,
Collaborative Synthesis of Visual Analytic Results,2008,VAST,Collaboration and Evaluation,Anthony C. Robinson,"Synthesis, collaboration, visual analytics, user- centered design.",,,,,,,1,,,1,,1,,,,,
Visual Evaluation of Text Features for Document Summarization and Analysis,2008,VAST,Collaboration and Evaluation,"Daniela Oelke, Peter Bak, Daniel A. Keim, Mark Last, Guy Danon",I.7.5 [Document and Text Processing]: Document Capture—Document Analysis; I.5.2 [Pattern Recognition]: Design Methodology—Feature evaluation and selection,,,,1,1,,1,,,,1,,1,,,,
Evaluating the Relationship Between User Interaction and Financial Visual Analysis,2008,VAST,Collaboration and Evaluation,"Dong Hyun Jeong, Wenwen Dou, Felesia Stukes, William Ribarsky, Heather Richter Lipford, Remco Chang","H.5.2 [Information Interfaces And Presen- tation (e.g., HCI)]: User Interfaces—Evaluation/methodology; H.5.2 [Information Interfaces And Presentation (e.g., HCI)]: User Interfaces—Graphical user interfaces (GUI)",,,,,1,,,,,,,,1,,,1,
Visual Analytics for Complex Concepts Using a Human Cognition Model,2008,VAST,Collaboration and Evaluation,"Tera Marie Green, William Ribarsky, Brian Fisher","visual analytics, cognition and perception theory, embodied cognition, visualization taxonomies and models",,,,,,,,,1,,,,,,1,,
Entity-Based Collaboration Tools for Intelligence Analysis,2008,VAST,Best Paper Award,"Eric A. Bier, Stuart K. Card, John W. Bodnar",,,,,,,,,,,,,,,,,,
Applied Visual Analytics for Economic Decision-Making,2008,VAST,"Reasoning, Insight, and System Aspects","Anya Savikhin, Ross Maciejewski, David S. Ebert",,,,,,,,,,,,,,,,,,
Narratives: A Visualization to Track Narrative Events as they Develop,2008,VAST,"Reasoning, Insight, and System Aspects","Danyel Fisher, Aaron Hoff, George Robertson, Matthew Hurst",,,,,,,,,,,,,,,,,,
Characterizing Users' Visual Analytic Activity for Insight Provenance,2008,VAST,"Reasoning, Insight, and System Aspects","David Gotz, Michelle X. Zhou",,,,,,,,,,,,,,,,,,
The Scalable Reasoning System: Lightweight Visualization for Distributed Analytics,2008,VAST,"Reasoning, Insight, and System Aspects","William A. Pike, Joe Bruce, Bob Baddeley, Daniel Best, Lyndsey Franklin, Richard May, Douglas M. Rice, Rick Riensche, Katarina Younkin",,,,,,,,,,,,,,,,,,
Generating Hypotheses of Trends in High-Dimensional Data Skeletons,2008,VAST,Multidimensional Data Visual Analytics,"Chandan K. Reddy, Snehal Pokharkar, Tin Kam Ho",,,,,,,,,,,,,,,,,,
Multivariate Visual Explanation for High Dimensional Datasets,2008,VAST,Multidimensional Data Visual Analytics,"Scott Barlowe, Tianyi Zhang, Yujie Liu, Jing Yang, Donald Jacobs",,,,,,,,,,,,,,,,,,
Visual Mining of Multimedia Data for Social and Behavioral Studies,2008,VAST,Multidimensional Data Visual Analytics,"Chen Yu, Yiwen Zhong, Thomas Smith, Ikhyun Park, Weixia Huang",,,,,,,,,,,,,,,,,,
Multidimensional Visual Analysis Using Cross-Filtered Views ,2008,VAST,Multidimensional Data Visual Analytics,Chris Weaver,,,,,,,,,,,,,,,,,,
