Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,,
LOD Map - A Visual Interface for Navigating Multiresolution Volume Visualization,2006,SciVis,User Interfaces,"Chaoli Wang, Han-Wei Shen","LOD map, knowledge representation, perceptual reasoning, multiresolution rendering, large volume visualization.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Analyzing Complex FTMS Simulations: a Case Study in High-Level Visualization of Ion Motions,2006,SciVis,"Visualization in Physical Sciences, Life Sciences and Engineering","Wojciech Burakiewicz, Robert van Liere","Particle visualization, motion, motion features.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detection and Visualization of Defects in 3D Unstructured Models of Nematic Liquid Crystals,2006,SciVis,"Visualization in Physical Sciences, Life Sciences and Engineering","Ketan Mehta, T.J. Jankun-Kelly","scientific visualization, disclination, nematic liquid crystal, defects, unstructured grid, feature extraction",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Understanding the Structure of the Turbulent Mixing Layer in Hydrodynamic Instabilities,2006,SciVis,"Visualization in Physical Sciences, Life Sciences and Engineering","Daniel Laney, Peer-Timo Bremer, Ajith Macarenhas, Paul Miller, Valerio Pascucci","topology, multi-resolution, Morse theory",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hub-based Simulation and Graphics Hardware Accelerated Visualization for Nanotechnology Applications,2006,SciVis,"Visualization in Physical Sciences, Life Sciences and Engineering","Wei Qiao, Michael McLennan, Rick Kennell, David S. Ebert, Gerhard Klimeck","remote visualization, volume visualization, flow visualization, graphics hardware, nanotechnology simulation.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature Aligned Volume Manipulation for Illustration and Visualization,2006,SciVis,Illustrative Visualization,"Carlos D. Correa, Deborah Silver, Min Chen","Illustrative visualization, Illustrative manipulation, GPU computing, volume rendering, volume deformation, computerassisted medical illustration",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploded Views for Volume Data,2006,SciVis,Illustrative Visualization,"Stefan Bruckner, M. Eduard Gröller","Illustrative visualization, exploded views, volume rendering.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caricaturistic Visualization,2006,SciVis,Illustrative Visualization,"Peter Rautek, Ivan Viola, Eduard Gröller","Peter Rautek, Ivan Viola, M. Eduard Gr ¨oller",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visual Signatures in Video Visualization,2006,SciVis,Video Systems and Time-Varying Data,"Min Chen, Ralf P. Botchen, Rudy R. Hashim, Daniel Weiskopf, Thomas Ertl, Ian M. Thornton","Video visualization, volume visualization, ow visualization, human factors, user study, visual signatures, video processing, optical ow, GPU rendering.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asynchronous Distributed Calibration for Scalable and Reconfigurable Multi-Projector Displays,2006,SciVis,Video Systems and Time-Varying Data,"Ezekiel S. Bhasker, Pinaki Sinha, Aditi Majumder","Multi-projector displays, projector-camera systems, geometric and color calibration, distributed algorithms.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dynamic View Selection for Time-Varying Volumes,2006,SciVis,Video Systems and Time-Varying Data,"Guangfeng Ji, Han-Wei Shen","Static view selection, image based method, dynamic view selection, information entropy, optimization.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enhancing Depth Perception in Translucent Volumes,2006,SciVis,Perception,"Marta Kersten, James Stewart, Niko Troje, Randy Ellis","Stereo, Stereopsis, X–ray, Radiograph, Volume Rendering",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Texturing of Layered Surfaces for Optimal Viewing,2006,SciVis,Perception,"Alethea S. Bair, Donald H. House, Colin Ware","perception, optimal visualization, layered surfaces, human-in-the-loop, genetic algorithm, data mining, linear discriminant analysis, parallel coordinates, decision trees",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Subjective Quantification of Perceptual Interactions Among Some 2D Scientific Visualization Methods,2006,SciVis,Perception,"Daniel Acevedo, David H. Laidlaw","Perception models, 2D visualization methods, visualization evaluation, perceptual interactions, visual design.",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
