Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Efficiency,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Uncertainty-Aware Guided Volume Segmentation ,2010,SciVis,,"Jörg-Stefan Praßni, Timo Ropinski, Klaus Hinrichs","Volume segmentation, uncertainty, classiﬁcation, random walker.",1,1,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Exploration and Visualization of Segmentation Uncertainty Using Shape and Appearance Prior Information ,2010,SciVis,,"Ahmed Saad, Ghassan Hamarneh, Torsten Möller","Uncertainty visualization, Medical imaging, Probabilistic segmentation",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Edge Aware Anisotropic Diffusion for 3D Scalar Data ,2010,SciVis,,"Zahid Hossain, Torsten Möller","Anisotropic diffusion, PDE, De-noising, Scale-Space, Principal Curvatures",1,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Interactive Histology of Large-Scale Biomedical Image Stacks ,2010,SciVis,,"Won-Ki Jeong, Jens Schneider, Stephen G. Turney, Beverly E. Faulkner-Jones, Dominik Meyer, Rüdiger Westermann, R. Clay Reid, Jeff Lichtman, Hanspeter Pfister","Gigapixel viewer, biomedical image processing, GPU, texture compression",2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
Articulated Planar Reformation for Change Visualization in Small Animal Imaging ,2010,SciVis,,"Peter Kok, Martin Baiker, Emile A. Hendriks, Frits H. Post, Jouke Dijkstra, Clemens W.G.M. Löwik, Boudewijn P.F. Lelieveldt, Charl P. BothaBoudewijn P.F. Lelieveldt, Charl P. Botha","Small animal imaging, comparative visualization, multi-timepoint, molecular imaging, articulated planar reformation.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Volumetric Modeling in Laser BPH Therapy Simulation,2010,SciVis,,"Nan Zhang, Xiangmin Zhou, Yunhe Shen, Robert Sweet","Volume modeling, volume CSG, controlled-volume vaporization, medical simulation, laser BPH simulator",2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Scalable Multi-variate Analytics of Seismic and Satellite-based Observational Data ,2010,SciVis,,"Xiaoru Yuan, Xiao He, Hanqi Guo, Peihong Guo, Wesley Kendall, Jian Huang, Yongxian Zhang","Earth Science Visualization, Multivariate Visualization, Seismic Data, Scalable Visualization",1,1,1,0,0,0,1,1,1,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Noodles: A Tool for Visualization of Numerical Weather Model Ensemble Uncertainty ,2010,SciVis,,"Jibonananda Sanyal, Song Zhang, Jamie Dyer, Andrew Mercer, Philip Amburn, Robert J. Moorhead","Uncertainty visualization, weather ensemble, geographic/geospatial visualization, glyph-based techniques, timevarying data, qualitative evaluation",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
Analysis of Recurrent Patterns in Toroidal Magnetic Fields ,2010,SciVis,,"Allen R. Sanderson, Guoning Chen, Xavier Tricoche, David Pugmire, Scott Kruger, Joshua Breslau","Conﬁned magnetic fusion, magnetic ﬁeld visualization, Poincare map, periodic magnetic ﬁeldlines, recurrent patterns",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Interactive Visualization of Hyperspectral Images of Historical Documents ,2010,SciVis,,"Seon Joo Kim, Shaojie Zhuo, Fanbo Deng, Chi-Wing Fu, Michael S. Brown","Hyperspectral visualization, data exploration, image fusion, document processing and analysis",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Interactive Visual Analysis of Multiple Simulation Runs using the Simulation Model View: Understanding and Tuning of an Electronic Unit Injector ,2010,SciVis,,"Krěsimir Matković, Denis Gračanin, Mario Jelović, Andreas Ammer, Alan Lež, Helwig Hauser","Visualization in physical sciences and engineering, time series data, coordinated multiple views.",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
[Honorable Mention] World Lines ,2010,SciVis,,"Jürgen Waser, Raphael Fuchs, Hrvoje Ribičić, Benjamin Schindler, Günther Blöschl, M. Eduard Gröller","Problem solving environment, decision making, simulation steering, parallel worlds, CFD, smoothed particle hydrodynamics",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Result-Driven Exploration of Simulation Parameter Spaces for Visual Effects Design ,2010,SciVis,,"Stefan Bruckner, Torsten Möller","Visual exploration, visual effects, clustering, time-dependent volume data",1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visual Optimality and Stability Analysis of 3DCT Scan Positions,2010,SciVis,,"Artem Amirkhanov, Christoph Heinzl, Michael Reiter, M. Eduard Gröller",,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pre-Integrated Volume Rendering with Non-Linear Gradient Interpolation ,2010,SciVis,,"Amel Guetat, Alexandre Ancel, Stephane Marchesin, Jean-Michel Dischler","Ray casting, pre-integration, Phong shading, volume rendering",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gradient Estimation Revitalized ,2010,SciVis,,"Usman Alim, Torsten Möller, Laurent Condat","Derivative, Gradient, Reconstruction, Sampling, Lattice, Interpolation, Approximation, Frequency Error Kernel",0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Direct Interval Volume Visualization ,2010,SciVis,,"Marco Ament, Daniel Weiskopf, Hamish Carr","Direct volume rendering, interval volume, isosurface, ray casting, preintegration, scale-invariant opacity",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VDVR: Verifiable Visualization of Projection-Based Data,2010,SciVis,,"Ziyi Zheng, Wei Xu, Klaus Mueller","Direct volume rendering, computed tomography, filtered back-projection, verifiable visualization",2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Fast High-Quality Volume Ray-Casting with Virtual Samplings,2010,SciVis,,"Byeonghun Lee, Jihye Yun, Jinwook Seo, Byonghyo Shim, Yeong-Gil Shin, Bohyoung Kim","Direct volume rendering, GPU, high quality, curve interpolation",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
