Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
Cerebral: Visualizing Multiple Experimental Conditions on a Graph with Biological Context,2008,InfoVis,Design,"Aaron Barsky, Tamara Munzner, Jennifer Gardy, and Robert Kincaid","Graph layout, systems biology visualization, small multiples, design study",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Viz-A-Vis: Toward Visualizing Video through Computer Vision,2008,InfoVis,Design,"Mario Romero, Jay Summet, John Stasko, Member, IEEE, and Gregory Abowd","Spatiotemporal visualization, time series data, video visualization, sensor analytics, image/video analytics",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Shaping of Information by Visual Metaphors,2008,InfoVis,Design,Caroline Ziemkiewicz and Robert Kosara,"Cognition, visualization theory, metaphors, hierarchies, evaluation.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Geometry-Based Edge Clustering for Graph Visualization,2008,InfoVis,Graph Visualization,"Weiwei Cui, Hong Zhou, Huamin Qu,Pak Chung Wong, and Xiaoming Li","Graph visualization, visual clutter, mesh, edge clustering",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
On the Visualization of Social and other Scale-Free Networks,2008,InfoVis,Graph Visualization,"Yuntao Jia, Jared Hoberock, Michael Garland, and John C. Hart","—Scale-free network, edge ﬁltering, betweenness centrality, anisotropic shading",1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Exploration of Networks Using Overview+Detail with Constraint-based Cooperative Layout,2008,InfoVis,Graph Visualization,Exploration of Networks Using Overview+Detail with Constraint-based Cooperative Layout,"Graph drawing, constraints, stress majorization, force directed algorithms, multidimensional scaling.",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Rapid Graph Layout Using Space Filling Curves,2008,InfoVis,Graph Visualization,"Chris Muelder and Kwan-Liu Ma,","Information visualization, Graph layout, Space ﬁlling curves",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Evaluating the Use of Data Transformation for Information Visualization,2008,InfoVis,Evaluation,Evaluating the Use of Data Transformation for Information Visualization,"data transformation, data cleaning, empirical evaluation, user studies. ",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Improving the Readability of Clustered Social Networks using Node Duplication,2008,InfoVis,Evaluation,Improving the Readability of Clustered Social Networks using Node Duplication,"Clustering, Graph Visualization, Node Duplications, Social Networks.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effectiveness of Animation in Trend Visualization,2008,InfoVis,Evaluation,"George Robertson, Roland Fernandez, Danyel Fisher, Bongshin Lee, and John Stasko","Information visualization, animation, trends, design, experiment.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Perceptual Organization in User-Generated Graph Layouts,2008,InfoVis,Evaluation,"Frank van Ham and Bernice E. Rogowitz,","Network layout visualization, perceptual organization, graph layout, user studies",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Interactive Visual Analysis of Set-Typed Data,2008,InfoVis,Ranking and Ordering Data,"Wolfgang Freiler, Kresimir Matkovi ˇ c,´ Computer Society, and Helwig Hauser","Interactive Visual Analysis, Multidimensional Multivariate Data Visualization, Categorical Data Visualization, InteractiveVisualization, Focus+Context Visualization, Multiple Coordinated Views.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spatially Ordered Treemaps,2008,InfoVis,Ranking and Ordering Data,"Jo Wood, Member, IEEE, and Jason Dykes","Geovisualization, treemaps, cartograms, CIELab, geographic information, tree structures.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Visualizing Incomplete and Partially Ranked Data,2008,InfoVis,Ranking and Ordering Data,"Paul Kidwell, Guy Lebanon, Member, IEEE, and William S. Cleveland","Partial rankings, incomplete rankings, multidimensional scaling",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
