Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,
Stochastic DT-MRI Connectivity Mapping on the GPU,2007,SciVis,,Tim McGraw and Mariappan Nadar,"diffusion tensor, magnetic resonance imaging, stochastic tractography",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topological Visualization of Brain Diffusion MRI Data,2007,SciVis,,"Thomas Schultz, Holger Theisel, and Hans-Peter Seidel","Diffusion tensor, probabilistic ﬁber tracking, tensor topology, uncertainty visualization",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Visualizing Whole-Brain DTI Tractography with GPU-based Tuboids and LoD Management,2007,SciVis,,"Vid Petrovic, James Fallon, and Falko Kuester","Tuboids, stream tubes, interactive gpu-centric rendering, neuronal pathways",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Construction of Simpliﬁed Boundary Surfaces from Serial-sectioned Metal Micrographs,2007,SciVis,,"Scott E. Dillard, John F. Bingert, Dan Thoma and Bernd Hamann","Surface extraction, Polygonal meshes, Visualization in Physical Sciences, Life Sciences and Engineering",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Efficient Surface Reconstruction using Generalized Coulomb Potentials,2007,SciVis,,Andrei C. Jalba and Jos B. T. M. Roerdink,"Surface reconstruction, Implicit surfaces, Octrees, Generalized Coulomb potentials, Polygonization",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Random-Accessible Compressed Triangle Meshes,2007,SciVis,,"Sung-Eui Yoon, and Peter Lindstrom","Mesh compression, random access, cache-coherent layouts, mesh data structures, external memory algorithms",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Surface Extraction from Multi-Material Components for Metrology using Dual Energy CT,2007,SciVis,,"Christoph Heinzl, Johann Kastner, and Eduard Groller","DECT image fusion, local surface extraction, Dual Energy CT, metrology, dimensional measurement, variance com-
parison",1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Contextualized Videos: Combining Videos with Environment Models to Support Situational Understanding,2007,SciVis,,"Yi Wang, David M. Krum, Enylton M. Coelho, and Doug A. Bowman","situational awareness, videos, virtual environment models, design space, testbed design and evaluation",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
LiveSync: Deformed Viewing Spheres for Knowledge-Based Navigation,2007,SciVis,,"Peter Kohlmann, Stefan Bruckner, Armin Kanitsar and M. Eduard Groller","Navigation, interaction, linked views, medical visualization, viewpoint selection",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Navigating in a Shape Space of Registered Models,2007,SciVis,,"Randall C. Smith, Richard Pawlicki, István Kókai, Jörg Finger and Thomas Vetter","Morphable model, shape space, barycentric coordinates, design space",0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Querying and Creating Visualizations by Analogy,2007,SciVis,,"Carlos E. Scheidegger, Huy T. Vo, David Koop, Juliana Freire, and Cl audio T. Silva","visualization systems, query-by-example, analogy",0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
A Flexible Multi-Volume Shader Framework　for Arbitrarily Intersecting Multi-Resolution Datasets,2007,SciVis,,"John Plate, Thorsten Holtkaemper, Bernd Froehlich","Multi-volume visualization, constructive solid geometry, shading, display algorithms",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lattice-Based Volumetric Global Illumination,2007,SciVis,,"Feng Qiu, Fang Xu, Zhe Fan, Neophytou Neophytos,　Arie Kaufman, and Klaus Mueller","Volume visualization, volume rendering, participating media, lattice, FCC lattice, sampling, multiple scattering, GPU",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Scalable Hybrid Unstructured and Structured Grid Raycasting,2007,SciVis,,"Philipp Muigg, Markus Hadwiger, Helmut Doleisch, Helwig Hauser","Volume Rendering of Unstructured Grids, Focus+Context Techniques, Hardware-Assisted Volume Rendering",1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Transform Coding for Hardware-accelerated Volume Rendering,2007,SciVis,,"Nathaniel Fout, and Kwan-Liu Ma","Volume Compression, Compressed Volume Rendering, Transform Coding, Hardware-accelerated Volume Rendering",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
CoViCAD: Comprehensive Visualization of Coronary Artery Disease,2007,SciVis,,"Maurice Termeer, Javier Oliv´an Besc´os, Marcel Breeuwer, Anna Vilanova, Member, IEEE, Frans Gerritsen, M. Eduard Gr¨ oller, Member, IEEE","Cardiac MRI, late enhancement, viability, bull’s eye plot",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Molecular Surface Abstraction,2007,SciVis,,"Gregory Cipriano, Student Member, IEEE, and Michael Gleicher","molecular surfaces, molecular visualization, surfaces, textures, cartographic labeling",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Two-Level Approach to Efficient Visualization of Protein Dynamics,2007,SciVis,,"Ove Daae Lampe, Ivan Viola Member, IEEE Computer Society, Nathalie Reuter and Helwig Hauser Member, IEEE","Molecular visualization, hardware acceleration, protein dynamics",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
